IanD1702#3635,355056667442083000
dprosk#6161,216411121856361000
guastaman#5332,205525085943873000
magsi_n#4884,118043198865185000
KenTheO#0733,90047377811614500
viva_victoria#1973,90024562416771900
JonWeston#0033,61588053172537700
cutesytootsie#9052,45238361436803400
JulesWinnfeild#0115,44910502278247700
Awesomegazelle1863#3952,38148531927444500
trisodium phosphate#3826,37688957101273800
Gallus gallus domesticus#6876,34670541843380600
Darth Nibbles#0281,34626589581287600
MattA#0219,33016063556128400
nagha#2123,30636087096826600
Starfisch#5190,26631648627782300
thebink#7741,24183170242062200
JPucks#7463,19465159690793900
Ricky#5653,18042079617982900
chanrosie#9244,17970978777914200
Jess_Star#9071,16009956638284300
TomMado#4087,15953802961661800
Matzigeuner#1078,15041861893604700
slashie101#6151,13625085662098600
Naddox#7204,13008439999130700
el_charlie#9304,10822948543872300
pudywardy#1102,9504922981812930
Smooter#1524,8421090308949600
kenporio#4587,7531758034144430
dirtydodge1999#1833,7462944398472810
dgjbfd#3069,7308658235177320
Kitsui Tango#8366,6903337163262130
Uddermode#1423,6642867572648560
luv2train#1954,6246896279900780
MootMootz#6121,5192616194247030
Champion1#5795,5014565725491760
galaxian#0844,4930666832773710
OAndreas#4326,4885403879954980
Ziogref#2085,3721189721202150
cutesytootsie alt#0692,3614187373305590
zofrex#2949,3564664363355050
pressqu#4659,3531654923554750
pheny#2159,3519645252198050
honeyhs18#1135,3030001923310530
cienfuegos#6255,2975734845191750
Cynethen#5251,2887920532399000
perrobin#5845,2860368312804660
RustleThyJimmies#1730,2812031266564980
Zapto#0721,1981452228428860
tstan48#4694,1819914747979510
Rico#2877,1742210015607790
Chekov#4729,1189375392056110
CC#9695,941985690407636
timeshifter#4698,810093617516678
GkTkLGQFDpKPsssssffffff#2714,502090688127317
Yenrich#6650,348325726667289
DucksGoMooful#1873,333791639053993
Chibesky#8574,323094685224933
edrick70#4755,288394828581379
Janii73#1803,260109151810095
jaw13#4183,209436215512990
Starlord#0562,177984638889470
garyfast#0287,162520589150825
Erubus#7596,142224451541054
Flu17#7611,141655376423802
oloeffler#5418,125615738032273
DisguisedPirate#1513,119664323406652
Nelsojas15#4804,116182297998373
IanD1702_2#0529,73588365256222
spottydot#8286,39604435707358
Stroon#4476,30654679979673
Kage#7616,28987771468078
wangy#7894,27334740832970
SaitamaCapedBaldy#3240,23941718387995
glimmereye#6558,23614643803594
NobleLmpkin27#7631,21762223516491
aMreclaimer#6450,14708759328089
katie#4935,11871803060072
Jetfin#4890,11747962312662
vincentsquirrel#7104,11701046842328
HitlessSpoon#2570,9961113150944
VauntedBeetle101#9636,8382849152362
little_greys1013#2432,1587565872019
Calma#2255,1273630650156
JanuaryLove#8641,593995209183
jillmillions#3357,562751761640
jortor#9925,284130945874
sgyoungster#4631,234154578654
KocproZ#0911,2660584068
Budgielover14#0218,1966617742
asterisk_man#9156,280662736
Jasmeet#3456,48366222
kennabees#1997,13241880
???????? ??????#5135,3721534
Alpaca#4957,2972364
GraySausageBoy#6057,2366124
SupermanJustin#1017,2327030
Gorbish#3970,1439382
Nelsojas15alt#9816,1093346
izxvri#4664,950040
Kristy_Nicky (Kaster)#9397,846956
MrChristmas#1246,450878
Not-Aidan#7463,391916
